comparison_group,metric,version,distance_mm
HX1&YJ2,mean,v1,1.4
HX2&YJ1,mean,v1,1.7
HX1&YJ2,median,v1,1.3
HX2&YJ1,median,v1,1.5
HX1&YJ2,95th_percentile,v1,2.3
HX2&YJ1,95th_percentile,v1,2.6
HX1&YJ2,mean,v2,1.4
HX2&YJ1,mean,v2,1.5
HX1&YJ2,median,v2,1.3
HX2&YJ1,median,v2,1.5
HX1&YJ2,95th_percentile,v2,2.2
HX2&YJ1,95th_percentile,v2,2.4
HX1&YJ2,mean,v3,1.3
HX2&YJ1,mean,v3,1.5
HX1&YJ2,median,v3,1.2
HX2&YJ1,median,v3,1.5
HX1&YJ2,95th_percentile,v3,2.0
HX2&YJ1,95th_percentile,v3,2.1
HX1&YJ2,mean,v4,1.3
HX2&YJ1,mean,v4,1.5
HX1&YJ2,median,v4,1.2
HX2&YJ1,median,v4,1.5
HX1&YJ2,95th_percentile,v4,2.0
HX2&YJ1,95th_percentile,v4,2.1
HX1&YJ2,mean,v5,1.3
HX2&YJ1,mean,v5,1.5
HX1&YJ2,median,v5,1.2
HX2&YJ1,median,v5,1.5
HX1&YJ2,95th_percentile,v5,1.9
HX2&YJ1,95th_percentile,v5,2.1
