patch_size,final_mean_distance_mm,standard_error,standard_deviation,median_mm,p90_mm,p95_mm,p99_mm
5*5*5,2.3,0.015,0.897,2.14,3.45,3.99,5.37
6*6*6,2.2,0.0148,0.885,2.03,3.23,3.82,5.54
7*7*7,2.07,0.0145,0.866,1.92,3.16,3.65,5.24
8*8*8,1.97,0.0144,0.859,1.8,2.99,3.48,5.27
10*10*10,1.85,0.0142,0.85,1.67,2.82,3.27,4.91
12*12*12,1.85,0.0138,0.828,1.67,2.89,3.31,4.84
13*13*13,1.77,0.014,0.835,1.6,2.72,3.22,5.06
14*14*14,1.75,0.0138,0.825,1.56,2.69,3.2,4.61
15*15*15,1.71,0.0136,0.816,1.55,2.59,3.15,4.87
16*16*16,1.71,0.0137,0.819,1.53,2.65,3.17,4.83
